رابط المنتج,رابط الصورة,اسم المنتج,السعر,الوصف,المقاس
https://mlika-sa.com/YgWDAQa,https://cdn.salla.sa/nBKV/4c7c3725-f7cd-46da-8d86-4a537148ea07-500x498.61111111111-orMLx2aj2zFKRtjhqWL366S0QySXniqUsk2ZkvPf.jpg,"سديري كحلي وبيج ""جوخ""",174 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/jZrAAmK,https://cdn.salla.sa/nBKV/d1a2a262-9803-4de2-abc5-9bd9e3aed606-400x500-40Jmvw3DNNWGoQ29Syja3yrmIUXjtLKz7pgXQ9w2.jpg,هودي ليحتضنك دائمًا - ألوان متعددة,139 SAR,خلّك دايم دافي وأنيق مع هودي 'ليحتضنك دائمًا بدل عني' – مصنوع من أفخم الخامات وبداخله رسالة دافئة تقول: 'ليحتضنك دائمًا بدل عني'، كأنك تاخذ حضن دافي معك وين ما تروح. اختر لونك المفضل من الرصاصي، الأسود، الأبيض، أو الكحلي، واستمتع بتغليف مميز مجاني وكرت برسالة منك. كما يمكنك تغيير الرسالة داخل الهودي حسب طلبك، لتجعله الهدية المثالية لشخص غالي عليك.,"
اسود
رصاصي
ابيض
كحلي"
https://mlika-sa.com/BrBqKaY,https://cdn.salla.sa/nBKV/5dba643b-f923-484a-8f18-0173cd864bfb-500x500-lJXSJIXoKUmGZlA0s1EneihkPADAoxCcJp5Q4k39.jpg,"سديري جملي وبيج ""جوخ""",174 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/nEqrjmD,https://cdn.salla.sa/nBKV/wxTIvGFDkOLJ37dS7Oh3GWFUQh2hnbHKq7OL9SW2.jpg,فروه قماش جوخ مع جلد على الاطراف,229 SAR,"فروة مصنوعة من قماش الجوخ الفاخر لون اسود
وجلد على الاطراف
ومن الداخل فرو الارنب الناعم الصناعي لون اسود
مع غطاء راس
التفصيل لجميع المقاسات","
52 انش ( 153 - 157 ) طولك
54 انش ( 158 - 162 ) طولك
56 انش ( 163 - 167 ) طولك
58 انش ( 168 - 172 ) طولك
60 انش ( 173 - 176 ) طولك
62 انش ( 177 - 185 ) طولك"
https://mlika-sa.com/bRaErqe,https://cdn.salla.sa/nBKV/p6Kc0AHovdZB1RLZE0tUE4MsRo5yL6CRdoOLXPk8.jpg,فروه دبل فيس مع شال لون كحلي مع سكري,299 SAR,"فروة بتصميم مميز تعكس الأناقة والجودة، مصنوعة من قماش الجوخ الفاخر لتمنحك الدفء والراحة في أيام الشتاء. تأتي مع شال منفصل يضيف لمسة من الفخامة إلى إطلالتك.
المزايا:
دبل فيس: يمكنك ارتداؤها على الجهتين، ما يتيح لك التغيير بين إطلالتين مختلفتين.","
52 انش ( 153 - 157 ) طولك
54 انش ( 158 - 162 ) طولك
56 انش ( 163 - 167 ) طولك
58 انش ( 168 - 172 ) طولك
60 انش ( 173 - 176 ) طولك
62 انش ( 177 - 185 ) طولك"
https://mlika-sa.com/Wljdgxw,https://cdn.salla.sa/nBKV/3e0fc128-f779-4a54-bd45-69d731f165a4-500x500-h0JhJyM2bMOY9oXkAhBNgbntq5n4RJZgMQtGuBAq.png,جاكيت فيراري جميع الالوان,220 SAR,"جاكيت السباق المثالي لعشاق الأناقة
تفاصيل مستوحاة من عالم السباقات، مطرّزة بدقة لإبراز الطابع الراقي.
تصميم مريح بخامات فاخرة يناسب جميع الإطلالات.
مزيج مثالي من الأصالة والموضة الحديثة يجعلك تتألق في كل الأوقات.","
S
M
L
XL
XXL"
https://mlika-sa.com/WljWWNj,https://cdn.salla.sa/nBKV/51c5cea8-cd2c-408f-b548-bd04702a47bc-400x500-9lPzI4k0F0ktX3dzdjBZJc9F5ncUbfSBOQkOnUbh.jpg,هودي قلبي مع قلبك ولو ديارك بعيده,139 SAR,خلّك دافي وأنيق مع هودي “قلبي مع قلبك ولو ديارك بعيده” – هدية مثالية تعكس الحب والاهتمام بتصميم مخصص يضم رسالة دافئة لتبقى دائماً بقرب من تحب، حتى لو كانت المسافات بعيدة. مصنوع من خامات ناعمة وفاخرة، مع تصميم الأيدي المتشابكة وعبارة “I will always choose you”، ليجمع بين الراحة والأناقة في قطعة واحدة.,"
اسود
رصاصي
ابيض
كحلي"
https://mlika-sa.com/VyGemm,https://cdn.salla.sa/nBKV/VsR3d2rBFpjsrztQEK0qPRnqL5r3jDxGkzhCPK8r.jpg,فرو نسائي شتوي بالأسم,195 SAR,"جديدنا شال نسائي شتوي الصوف درجه اولى 🤩

شال نسائي شتوي صوف 🧣

مقاس موحد ☑️

مع تطريز اسماء او حروف على حسب الطلب 😍😍

متوفر ب 4 الوان 👌

•خدمة توصيل لكافت المملكة العربية السعودية","
ذهبي
فضي
ابيض"
https://mlika-sa.com/PdpgYEq,https://cdn.salla.sa/nBKV/40ea5e3a-f6d7-447c-b392-1a672e6ba2b2-357.16142448661x500-ncuywjvEEOBpJL5MthDCktBdqcQuIu4lGmYw7qsz.jpg,بشت نسائي جوخ شتوي مطرز بسدو مع شال,264 SAR,استمتعي بالدفء والأناقة في هذا البشت الشتوي المصنوع من جوخ عالي الجودة، والمطرز بنقوش السدو التراثية التي تعكس الفخامة العربية. يأتي مع شال أنيق ليمنحك دفئًا مضاعفًا وأناقة متكاملة خلال الأيام الباردة.,"
اسود
بيج"
https://mlika-sa.com/lGyXbGV,https://cdn.salla.sa/nBKV/f1d125fa-f766-484c-b9d8-712f2e0c0719-333.33333333333x500-DbvBnUv9aNYPudW8c3SeGFYEm3dkjnGYqYrRjF3x.jpg,هودي باسم من تحب - خصصه بطريقتك,139 SAR,"هذا الهودي الفاخر صُمم بعناية ليكون أكثر من مجرد قطعة ملابس، بل هو تعبير عن مشاعر خاصة. بتفاصيل راقية وعناية فائقة في التصنيع، يجعله الهدية المثالية لمن تحب.

• اختر اسم من تحب أو عبارتك الخاصة
• متوفر بجميع المقاسات
• متوفر بجميع الألوان
• يأتي بتغليف خاص ومميز
• مناسب للجنسين","
اسود
ابيض
رصاصي
كحلي"
https://mlika-sa.com/ePpBYay,https://cdn.salla.sa/nBKV/22f4a3cf-4eef-4431-9ae2-85940e652aaf-400x500-ltOPXinTwhmrT8OLqAuSOI2lC9yeMhogiColTjj3.jpg,هودي ليحتضنك دائمًا – بحرف وتاريخ خاص,139 SAR,خلّك دايم دافي وأنيق مع هودي 'ليحتضنك دائمًا بدل عني' – تصميم فريد يناسب الجنسين. مصنوع من أفخم الخامات وبداخله رسالة دافئة تقول: 'ليحتضنك دائمًا بدل عني'، كأنك تاخذ حضن دافي معك وين ما تروح. اختر لونك المفضل من الرصاصي، الأسود، الأبيض، أو البيج، واستمتع بتغليف مميز مجاني وكرت برسالة منك. كما يمكنك تغيير الحرف والتاريخ على الهودي، بالإضافة إلى الرسالة الداخلية، حسب طلبك لتجعله الهدية المثالية لشخص غالي عليك.,"
اسود
بيج
ابيض
كحلي
رصاصي"
https://mlika-sa.com/QdjKlKv,https://cdn.salla.sa/nBKV/b83f1a3c-0c08-4335-aa66-99de35121a65-333x500-t0dmZpdhsECEngbQxwGo5CgjfVAEzwndo91oBYZV.jpg,سديري رجالي سنقل فيس قلاب صوف لون اسود,180 SAR,"سديري رجالي :
من متجر ملكة صنعت لإجلكم
صناعة يدوية جودة عالية
تصميم مميز وأنيق
مصنوع من أجود أنواع الجوخ

للتغيير لونين مختلفين

مع جيوب جانبية كما موضح فالصورة
مناسبة لجميع الاعمار والمناسبات
اختيار المقاسات على حسب الطلب","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/pQyYAON,https://cdn.salla.sa/nBKV/936317e4-d0b4-4df1-8226-d018c44f54fd-357.10227272727x500-HXCOu7EKf0LQDnzsN87M1ZzU0xomZupLcofk1BL1.jpg,سديري رجالي سنقل فيس قلاب صوف لون فيراني بيج,180 SAR,"سديري رجالي :
صناعة يدوية جودة عالية
تصميم مميز وأنيق
مصنوع من أجود أنواع الجوخ

مع جيوب جانبية كما موضح فالصورة
مناسبة لجميع الاعمار والمناسبات
اختيار المقاسات على حسب الطلب","
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/QdXmgpN,https://cdn.salla.sa/nBKV/993c04f8-9ef8-4fd6-90e0-43dea6c3505e-333.33333333333x500-iCMpHpwfl8lx4VjI4Or05rPPxeMUQ3zhCF5FzGei.jpg,سديري جوخ,165 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
كحلي - جملي
رصاصي - اوف وايت"
https://mlika-sa.com/xAKdYej,https://cdn.salla.sa/nBKV/efe9d79a-848d-4796-b558-c1d9f01d9b1f-400.29651593773x500-cLk8GbtUyXy0IfCOMJh1beztmTo8IFbJlcf4SBkg.jpg,سديري جوخ عنابي بفرو داخلي,180 SAR,أضف لمسة من الفخامة والرقي إلى إطلالتك الشتوية مع سديري رجالي من الجوخ الفاخر، مصنوع يدويًا بجودة عالية وتصميم مميز يناسب جميع الأعمار والمناسبات. اختيار مثالي لإطلالة شتوية فاخرة وأنيقة.,"
S
M
L
XL
XXL
XXXL"
https://mlika-sa.com/OqYDBmo,https://cdn.salla.sa/nBKV/c9e71a19-d440-42c4-af07-dfde6d41cfa1-500x500-HkCDPoiq3qD8INGSAIbp4APAaf3jsDPledmPbasS.jpg,سديري جوخ لون اسود - رمادي,199 SAR,"سديري جوخ رجالي – تصميم فاخر يجمع بين الأصالة والعصرية، قابل للارتداء على الجهتين لإطلالات متعددة. مصنوع من جوخ عالي الجودة ليمنحك الدفء والأناقة، ويأتي بتغليف أنيق ليكون خيارًا مثاليًا للإهداء.

تفاصيل المنتج:
جوخ فاخر بجودة عالية.
تصميم مزدوج لإطلالات متنوعة.
جيوب جانبية عملية.
مثالي للإهداء.","
S
M
L
XL
2XL
3XL"
https://mlika-sa.com/zvWYRol,https://cdn.salla.sa/nBKV/7c5d6284-f24b-4008-b5e5-649068334dd5-500x500-OUru24BMBMce3y406UwLJ0Nu0ucqcM4hrG2IftDt.jpg,وشاح شتوي أنيق ودافئ - متجر ملكة,170 SAR,"كولكشن الشتاء ❄️

وشاح شتوي نسائي أنيق 🧣

مزود بتطريز الأسماء أو الحروف حسب الطلب لتخصيص مميز 😍

يأتي مع طاقية أنيقة 💕

مصنوع من فرو بوليستر ناعم يمنحك دفئاً ولمسة راقية 🌸

مقاس موحد يناسب الجميع 📏","
نعم
لا"
https://mlika-sa.com/mQzeDVb,https://cdn.salla.sa/nBKV/f814b7f3-fa6e-4927-b367-1aa8939b220f-283.01886792453x500-g4oDkxTM6cWo5rISygwTePXID61UwU9AKKViWHOE.jpg,"سديري ابيض بقلاب فرو ""جوخ""",180 SAR,"أفخم طلة رجالية وقطعة مميزة من ملابس الشتاء الفاخرة، سديري رجالي من الجوخ الفاخر، مصنوع يدويًا بجودة عالية وتصميم مميز وأنيق. يحتوي على جيوب جانبية كما هو موضح في الصورة، مناسب لجميع الأعمار والمناسبات.

الألوان: أبيض سكري
الفرو: أسود بني","
S
M
L
XL
XXL
XXXL"
